Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22n","C_0805_2012Metric",17.600000,18.200000,270.000000,top
"C2","47 n","C_0805_2012Metric",26.637500,47.200000,0.000000,top
"C3","1u","C_0805_2012Metric",26.000000,29.500000,270.000000,top
"C4","51p","C_0805_2012Metric",31.250000,46.350000,0.000000,top
"C5","100u","CP_EIA-6032-28_Kemet-C",19.820000,55.830000,180.000000,top
"C6","0.22u","CP_EIA-2012-12_Kemet-R",26.500000,36.325000,180.000000,top
"C7","0.22u","CP_EIA-2012-12_Kemet-R",12.500000,50.750000,270.000000,top
"C8","47u","CP_EIA-3216-18_Kemet-A",17.250000,50.000000,90.000000,top
"C9","1u","C_0805_2012Metric",30.000000,34.500000,0.000000,top
"C10","0.1u","C_0805_2012Metric",12.250000,42.250000,180.000000,top
"C11","10u","C_1206_3216Metric",22.250000,38.250000,270.000000,top
"C12","1u","C_0805_2012Metric",35.700000,37.900000,270.000000,top
"C13","0.1u","C_0805_2012Metric",33.700000,37.900000,270.000000,top
"C14","0.1u","C_0805_2012Metric",23.050000,28.700000,0.000000,top
"C15","0.1u","C_0805_2012Metric",20.500000,24.300000,0.000000,top
"C16","0.1u","C_0805_2012Metric",13.400000,47.400000,180.000000,top
"D1","LED","LED_1206_3216Metric",16.000000,7.500000,90.000000,top
"D2","1N4148","D_SOD-323_HandSoldering",31.250000,50.350000,0.000000,top
"D3","1N4148","D_SOD-323_HandSoldering",31.250000,48.350000,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",34.500000,28.500000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",5.000000,70.000000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",5.000000,0.000000,0.000000,top
"R1","4.7k","R_0603_1608Metric",16.000000,11.500000,270.000000,top
"R2","511k","R_0603_1608Metric",17.600000,14.912500,90.000000,top
"R3","1k","R_0603_1608Metric",21.800000,21.700000,270.000000,top
"R4","511k","R_0603_1608Metric",19.500000,22.500000,180.000000,top
"R5","10k","R_0603_1608Metric",28.750000,28.500000,0.000000,top
"R6","4.7k","R_0603_1608Metric",23.000000,46.500000,0.000000,top
"R7","10k","R_0603_1608Metric",23.250000,30.500000,180.000000,top
"R8","51k","R_0603_1608Metric",29.250000,52.250000,0.000000,top
"R9","1k","R_0603_1608Metric",33.500000,41.500000,90.000000,top
"R10","10k","R_0603_1608Metric",19.500000,49.250000,270.000000,top
"R11","10k","R_0603_1608Metric",18.500000,46.750000,180.000000,top
"R12","220","R_0603_1608Metric",14.400000,50.500000,90.000000,top
"R13","10k","R_0603_1608Metric",26.000000,39.500000,90.000000,top
"R14","1k","R_0603_1608Metric",29.900000,36.500000,180.000000,top
"R15","1k","R_0603_1608Metric",2.000000,36.250000,0.000000,top
"R16","511k","R_0603_1608Metric",13.250000,44.900000,270.000000,top
"R17","10k","R_0603_1608Metric",24.500000,43.750000,180.000000,top
"R18","100","R_0603_1608Metric",22.000000,43.000000,90.000000,top
"R19","10k","R_0603_1608Metric",23.000000,34.250000,180.000000,top
"U2","LM4562","SOIC-8_3.9x4.9mm_P1.27mm",29.750000,41.450000,270.000000,top
